player,total_runs,balls_faced,times_out,matches_played,batting_average,strike_rate,fours,sixes,runs_conceded,wickets,balls_bowled,matches_bowled,economy_rate,bowling_average,bowling_strike_rate,role,total_matches
YS Chahal,37.0,89.0,6.0,17.0,6.17,41.57,0.0,0.0,4681.0,213.0,3628.0,159.0,7.74,21.98,17.03,All-rounder,159.0
L Balaji,36.0,50.0,7.0,13.0,5.14,72.0,2.0,1.0,2083.0,85.0,1574.0,73.0,7.94,24.51,18.52,All-rounder,73.0
Anureet Singh,36.0,47.0,4.0,8.0,9.0,76.6,2.0,1.0,636.0,21.0,430.0,22.0,8.87,30.29,20.48,Bowler,22.0
A Kumble,35.0,49.0,2.0,15.0,17.5,71.43,3.0,0.0,1089.0,49.0,983.0,42.0,6.65,22.22,20.06,All-rounder,42.0
M Ashwin,35.0,50.0,8.0,12.0,4.38,70.0,2.0,1.0,1182.0,35.0,898.0,44.0,7.9,33.77,25.66,All-rounder,44.0
S Sreesanth,34.0,57.0,3.0,12.0,11.33,59.65,6.0,0.0,1221.0,43.0,947.0,44.0,7.74,28.4,22.02,All-rounder,44.0
Navdeep Saini,33.0,38.0,4.0,7.0,8.25,86.84,3.0,0.0,968.0,26.0,682.0,31.0,8.52,37.23,26.23,Bowler,31.0
Imran Tahir,33.0,37.0,4.0,8.0,8.25,89.19,5.0,0.0,1729.0,86.0,1340.0,59.0,7.74,20.1,15.58,Bowler,59.0
Basil Thampi,32.0,37.0,2.0,7.0,16.0,86.49,1.0,1.0,862.0,26.0,539.0,25.0,9.6,33.15,20.73,Bowler,25.0
Ravi Bishnoi,32.0,52.0,7.0,14.0,4.57,61.54,2.0,0.0,1861.0,68.0,1460.0,65.0,7.65,27.37,21.47,All-rounder,65.0
Arshdeep Singh,29.0,42.0,5.0,11.0,5.8,69.05,4.0,0.0,2097.0,84.0,1453.0,65.0,8.66,24.96,17.3,All-rounder,65.0
SB Jakati,28.0,30.0,2.0,5.0,14.0,93.33,3.0,0.0,1474.0,50.0,1101.0,57.0,8.03,29.48,22.02,Bowler,57.0
AS Joseph,27.0,32.0,1.0,5.0,27.0,84.38,3.0,0.0,707.0,22.0,454.0,22.0,9.34,32.14,20.64,Bowler,22.0
AB Dinda,26.0,50.0,9.0,16.0,2.89,52.0,2.0,0.0,2103.0,82.0,1589.0,75.0,7.94,25.65,19.38,All-rounder,75.0
AS Rajpoot,26.0,41.0,4.0,7.0,6.5,63.41,2.0,1.0,844.0,24.0,567.0,29.0,8.93,35.17,23.62,Bowler,29.0
PJ Sangwan,26.0,47.0,8.0,14.0,3.25,55.32,1.0,0.0,1267.0,44.0,905.0,42.0,8.4,28.8,20.57,All-rounder,42.0
Mohsin Khan,25.0,27.0,2.0,5.0,12.5,92.59,2.0,1.0,698.0,27.0,507.0,23.0,8.26,25.85,18.78,Bowler,23.0
CV Varun,25.0,49.0,2.0,10.0,12.5,51.02,2.0,0.0,2042.0,85.0,1624.0,70.0,7.54,24.02,19.11,All-rounder,70.0
Umran Malik,23.0,16.0,1.0,5.0,23.0,143.75,1.0,2.0,785.0,31.0,519.0,26.0,9.08,25.32,16.74,Bowler,26.0
SW Tait,23.0,26.0,3.0,5.0,7.67,88.46,1.0,1.0,668.0,26.0,534.0,21.0,7.51,25.69,20.54,Bowler,21.0
GB Hogg,22.0,22.0,2.0,4.0,11.0,100.0,1.0,0.0,585.0,25.0,466.0,21.0,7.53,23.4,18.64,Bowler,21.0
DE Bollinger,21.0,23.0,1.0,4.0,21.0,91.3,1.0,1.0,716.0,43.0,600.0,27.0,7.16,16.65,13.95,Bowler,27.0
TU Deshpande,21.0,15.0,1.0,4.0,21.0,140.0,2.0,1.0,1275.0,46.0,831.0,36.0,9.21,27.72,18.07,Bowler,36.0
S Kaul,20.0,36.0,3.0,9.0,6.67,55.56,1.0,0.0,1772.0,63.0,1238.0,55.0,8.59,28.13,19.65,Bowler,55.0
M Muralitharan,20.0,30.0,6.0,9.0,3.33,66.67,1.0,0.0,1765.0,67.0,1581.0,66.0,6.7,26.34,23.6,Bowler,66.0
JR Hazlewood,19.0,29.0,0.0,6.0,19.0,65.52,1.0,0.0,830.0,36.0,622.0,27.0,8.01,23.06,17.28,Bowler,27.0
PV Tambe,18.0,39.0,1.0,6.0,18.0,46.15,1.0,0.0,866.0,28.0,674.0,33.0,7.71,30.93,24.07,Bowler,33.0
Harmeet Singh,18.0,12.0,2.0,4.0,9.0,150.0,3.0,0.0,747.0,31.0,574.0,28.0,7.81,24.1,18.52,Bowler,28.0
PP Ojha,16.0,45.0,10.0,19.0,1.6,35.56,0.0,0.0,2399.0,99.0,1945.0,90.0,7.4,24.23,19.65,All-rounder,90.0
A Zampa,15.0,25.0,5.0,5.0,3.0,60.0,1.0,0.0,562.0,30.0,425.0,20.0,7.93,18.73,14.17,Bowler,20.0
Noor Ahmad,13.0,18.0,4.0,5.0,3.25,72.22,2.0,0.0,672.0,24.0,513.0,23.0,7.86,28.0,21.38,Bowler,23.0
Mustafizur Rahman,13.0,23.0,1.0,6.0,13.0,56.52,0.0,1.0,1792.0,70.0,1353.0,57.0,7.95,25.6,19.33,Bowler,57.0
Kartik Tyagi,13.0,16.0,4.0,6.0,3.25,81.25,1.0,0.0,720.0,16.0,458.0,20.0,9.43,45.0,28.62,Bowler,20.0
